order_item_id,order_id,product_id,quantity,unit_price,discount_rate
1,1,185,5,625.24,0.2
2,1,55,1,486.28,0.05
3,1,87,2,314.68,0.1
4,2,261,4,273.86,0.05
5,3,12,1,297.05,0.1
6,3,79,5,51.45,0
7,4,166,3,720.75,0.03
8,4,206,4,160.68,0.2
9,5,17,1,115194.5,0.2
10,5,151,3,293.07,0.1
11,5,87,1,333.82,0.05
12,6,6,5,1479.01,0.1
13,7,251,5,255.65,0.05
14,8,97,1,5646.46,0.03
15,8,189,2,192.52,0.2
16,8,263,2,261.31,0.05
17,9,268,2,471.35,0.1
18,10,217,2,1277.96,0.1
19,10,146,1,15906.28,0.03
20,11,40,4,1384.55,0.15
21,12,83,2,1645.11,0.15
22,13,286,5,67.96,0
23,14,222,5,22.25,0.05
24,14,147,2,1730.13,0.1
25,15,59,3,58.95,0.03
26,16,179,5,350.18,0.2
27,17,97,1,5667.65,0.03
28,18,131,2,1041.16,0.05
29,18,202,4,2180.49,0
30,18,226,3,13952.35,0.1
31,18,61,5,107.94,0.15
32,19,93,0,45.57,0.1
33,19,217,5,1316.03,0.15
34,20,173,5,218.04,0.1
35,21,169,1,883.87,0.03
36,22,53,2,826.9,0.2
37,23,242,1,15376.45,0.05
38,24,183,5,352.61,0
39,24,42,3,2256.83,0.2
40,25,166,3,647.05,0.03
41,25,166,5,716.15,0.15
42,25,229,4,349.05,0.2
43,25,19,3,2142.21,0.2
44,26,238,5,150.63,0.15
45,27,197,1,908.6,0.03
46,28,157,2,71.22,0
47,28,203,1,140802.64,0.15
48,28,99,1,1548.94,0.2
49,29,284,4,108.94,0
50,29,244,2,1677.09,0.05
51,29,272,0,30.03,0.15
52,30,227,2,2264.61,0.03
53,31,280,3,449.41,0
54,31,179,2,384.0,0.03
55,32,9,4,355.35,0
56,32,125,1,226.14,0.15
57,33,213,2,681.02,0.1
58,34,236,2,77.18,0.05
59,35,236,3,76.14,0.05
60,35,255,5,35.59,0.2
61,35,90,3,-776.61,0.05
62,36,54,5,720.01,0.05
63,36,271,3,83.0,0.1
64,37,72,3,324.87,0.2
65,37,87,1,342.25,0.2
66,38,133,3,1010.94,0.03
67,38,61,1,105.66,0.2
68,38,102,3,1172.71,0.1
69,39,135,3,465.9,0.05
70,39,44,3,400.06,0.05
71,40,250,2,1338.1,0.03
72,40,162,2,18344.64,0.2
73,40,26,4,1034.98,0
74,41,229,5,398.59,0.03
75,41,102,4,1267.81,0.15
76,42,262,1,820.0,0
77,43,94,3,111.7,0
78,43,146,3,16982.31,0.03
79,43,153,2,1064.12,0.1
80,44,215,1,114.43,0.2
81,44,106,2,1671.47,0.05
82,44,60,3,85.4,0.2
83,45,131,4,1085.94,0.1
84,46,247,2,304.59,0.1
85,46,44,5,393.79,0.15
86,47,233,3,259.83,0.03
87,48,28,1,419.67,0.1
88,48,241,1,5314.57,0.03
89,49,43,5,82.22,0
90,49,59,2,58.09,0.03
91,49,21,5,125.89,0.05
92,50,4,4,2417.73,0.2
93,51,40,1,1365.65,0.05
94,51,43,2,80.47,0.15
95,51,67,2,1553.72,0.03
96,52,136,2,406.28,0
97,53,40,3,1377.19,0.2
98,54,136,4,424.37,0.05
99,55,266,5,2147.8,0.05
100,56,276,2,4146.99,0
101,56,235,3,185.24,0.1
102,56,174,1,121.98,0.03
103,57,72,4,340.42,0.03
104,57,65,1,8473.95,0.2
105,58,105,3,1278.67,0.1
106,59,292,4,1328.66,0.2
107,60,207,5,30.99,0.15
108,61,220,5,220.69,0.2
109,61,43,2,82.34,0.1
110,61,169,1,152.28,0.03
111,62,71,3,200.35,0.05
112,62,148,4,844.12,0.1
113,62,182,1,899.06,0.05
114,62,19,3,2262.46,0.2
115,63,64,5,31.27,0.1
116,64,213,2,620.05,0.03
117,65,95,2,65.59,0.15
118,65,165,2,104.62,0.1
119,66,158,5,32.07,0
120,66,124,1,100.54,0.15
121,66,26,2,967.94,0
122,67,256,3,41.44,0.03
123,68,35,3,1079.2,0.15
124,69,235,3,207.23,0
125,70,214,5,86303.39,0.05
126,71,250,1,1259.66,0.1
127,72,196,5,1107.62,0.2
128,73,24,3,848.88,0
129,73,54,1,766.19,0
130,74,284,4,106.88,0.03
131,74,175,4,68.92,0.2
132,75,172,1,171.74,0.03
133,76,186,5,1510.16,0.05
134,77,58,5,961.42,0.2
